Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2018/12/04, 03:13:37, -37.856144, 77.522873, 43.55,  108.00, 321, 0, 29.24, 
2018/12/04, 03:18:57, -37.856144, 77.523071, 17.56,  0.00, 166, 0, 17.38, 
2018/12/04, 03:24:21, -37.855896, 77.523003, 87.16,  144.00, 169, 0, 28.22, 
2018/12/04, 03:29:31, -37.856243, 77.522957, 16.92,  0.00, 73, 0, 38.80, 
2018/12/04, 03:34:39, -37.856110, 77.522690, 113.21,  9540.00, 224, 0, 27.72, 1
2018/12/04, 03:39:51, -37.856396, 77.522903, 6.63,  756.00, 219, 0, 36.89, 1
2018/12/04, 03:45:08, -37.856026, 77.523254, -1.35,  0.00, 205, 0, 51.40, 
2018/12/04, 03:50:23, -37.854443, 77.524384, 28.82,  1008.00, 206, 0, 202.05, 
2018/12/04, 03:55:47, -37.855885, 77.523186, -2.68,  0.00, 225, 0, 191.76, 
2018/12/04, 04:01:10, -37.855896, 77.523163, 10.76,  0.00, 17, 0, 2.36, 
2018/12/04, 04:06:31, -37.855736, 77.523247, 6.32,  0.00, 2, 0, 19.26, 
2018/12/04, 04:11:40, -37.855164, 77.523354, 55.36,  4752.00, 191, 0, 64.29, 
2018/12/04, 04:16:48, -37.856396, 77.523056, -17.33,  2484.00, 197, 0, 139.47, 
2018/12/04, 04:22:05, -37.855282, 77.523369, 38.24,  2088.00, 185, 0, 126.88, 1
2018/12/04, 07:06:17, -37.855282, 77.523369, 38.24,  2088.00, 185, 0, 0.00, 
2018/12/04, 07:11:56, -37.854744, 77.524094, 147.34,  0.00, 18, 0, 87.35, 1
2018/12/04, 07:17:02, -37.854656, 77.524155, 142.54,  0.00, 209, 0, 11.15, 
2018/12/04, 07:22:11, -37.854717, 77.524109, 154.85,  0.00, 186, 0, 7.89, 
2018/12/04, 07:27:23, -37.854691, 77.524063, 150.28,  0.00, 0, 0, 4.97, 
2018/12/04, 07:32:35, -37.854763, 77.524033, 141.68,  0.00, 0, 0, 8.43, 
2018/12/04, 07:37:55, -37.854691, 77.524078, 152.50,  0.00, 358, 0, 8.93, 
2018/12/04, 07:43:17, -37.854767, 77.524071, 151.96,  0.00, 65, 0, 8.47, 
2018/12/04, 07:48:34, -37.854637, 77.524162, 132.52,  0.00, 43, 0, 16.52, 
2018/12/04, 07:54:27, -37.854702, 77.524086, 148.43,  576.00, 277, 0, 9.84, 
2018/12/04, 08:00:21, -37.854652, 77.524101, 152.23,  288.00, 196, 0, 5.71, 
2018/12/04, 08:09:00, -37.854805, 77.524055, 158.08,  720.00, 184, 0, 17.49, 
2018/12/04, 08:18:01, -37.854733, 77.524101, 155.57,  504.00, 0, 0, 8.97, 
2018/12/04, 08:23:27, -37.854790, 77.524025, 154.95,  252.00, 0, 0, 9.20, 
2018/12/04, 08:28:56, -37.854725, 77.524040, 152.24,  612.00, 337, 0, 7.35, 
2018/12/04, 08:34:23, -37.854713, 77.524055, 149.73,  720.00, 0, 0, 1.87, 
2018/12/04, 08:39:48, -37.854736, 77.524040, 150.29,  324.00, 172, 0, 2.88, 
2018/12/04, 08:45:12, -37.854740, 77.524040, 155.44,  540.00, 0, 0, 0.44, 
2018/12/04, 08:50:36, -37.854717, 77.524055, 146.53,  252.00, 10, 0, 2.88, 
2018/12/04, 08:55:59, -37.854710, 77.524040, 144.43,  504.00, 0, 0, 1.53, 
2018/12/04, 09:01:22, -37.854706, 77.524078, 147.43,  540.00, 0, 0, 3.37, 
2018/12/04, 09:06:33, -37.854725, 77.524071, 142.24,  540.00, 0, 0, 2.20, 
2018/12/04, 09:11:57, -37.854759, 77.524063, 151.35,  1548.00, 359, 0, 3.85, 
2018/12/04, 09:17:32, -37.854740, 77.524063, 150.59,  468.00, 63, 0, 2.11, 
2018/12/04, 09:22:42, -37.854706, 77.524033, 143.08,  0.00, 0, 0, 4.61, 
2018/12/04, 09:27:54, -37.854652, 77.524055, 148.59,  0.00, 131, 0, 6.31, 
2018/12/04, 09:33:25, -37.854614, 77.523918, 192.27,  900.00, 7, 0, 12.75, 
2018/12/04, 09:38:56, -37.854694, 77.524170, 120.94,  432.00, 179, 0, 23.85, 
2018/12/04, 09:44:45, -37.854691, 77.524071, 140.98,  612.00, 202, 0, 8.70, 
2018/12/04, 09:50:43, -37.854645, 77.524117, 138.02,  432.00, 118, 0, 6.52, 
2018/12/04, 09:56:20, -37.854469, 77.524071, 163.34,  72.00, 175, 0, 19.98, 
2018/12/04, 10:03:10, -37.854622, 77.524109, 132.87,  36.00, 16, 0, 17.34, 
2018/12/04, 10:10:12, -37.854717, 77.524086, 141.06,  504.00, 221, 0, 10.75, 
2018/12/04, 10:17:21, -37.854759, 77.524071, 149.96,  108.00, 196, 0, 4.85, 
2018/12/04, 10:22:51, -37.854683, 77.524117, 125.55,  540.00, 28, 0, 9.37, 
2018/12/04, 10:30:09, -37.854744, 77.524078, 149.36,  864.00, 338, 0, 7.60, 
2018/12/04, 10:38:00, -37.854713, 77.524078, 137.83,  180.00, 170, 0, 3.45, 
2018/12/04, 10:45:16, -37.854740, 77.524055, 148.07,  0.00, 103, 0, 3.62, 
2018/12/04, 10:50:19, -37.854733, 77.524055, 142.63,  0.00, 0, 0, 0.78, 
2018/12/04, 10:55:24, -37.854618, 77.524124, 145.59,  0.00, 194, 0, 14.15, 
2018/12/04, 11:00:38, -37.854691, 77.524124, 149.91,  0.00, 0, 0, 8.12, 
2018/12/04, 11:05:49, -37.854702, 77.524086, 143.79,  0.00, 0, 0, 3.55, 
