Iter	HR	R.cor
1	50	-0.0790686593975638
1	90	-0.0937261933441249
2	50	-0.0113561592251426
2	90	-0.0612119744734856
3	50	-0.0926124771360335
3	90	-0.0928593041271265
4	50	-0.125968953011498
4	90	-0.131444604629509
5	50	-0.150040441405415
5	90	-0.141174510594885
6	50	-0.0956620312077285
6	90	-0.112563955822863
7	50	-0.127301128178181
7	90	-0.086326233665436
8	50	-0.0812879650537197
8	90	-0.156081638421982
9	50	-0.0991349407262629
9	90	-0.143664057938718
10	50	-0.120669181559659
10	90	-0.133344256098248
11	50	-0.0237664698120676
11	90	-0.0708282956500748
12	50	0.025884164024195
12	90	-0.0388047336476012
13	50	-0.0595717584112971
13	90	-0.0870000529543454
14	50	-0.0020753363828454
14	90	-0.0694198535556709
15	50	-0.0740940739607376
15	90	-0.0699861301640357
16	50	-0.0842204928763849
16	90	-0.109990782852871
17	50	-0.0733836150576527
17	90	-0.0572037606326289
18	50	-0.177518779925367
18	90	-0.111022086988444
19	50	-0.098490079552354
19	90	-0.117383642625158
20	50	-0.0604699345630981
20	90	-0.0796039715109173
21	50	0.0506328160880965
21	90	-0.0458326855153109
22	50	-0.161158378229861
22	90	-0.151773260649888
23	50	-0.0626462018598275
23	90	-0.058428180778856
24	50	-0.115516081531497
24	90	-0.155307412433008
25	50	-0.174727931628187
25	90	-0.12551972759334
26	50	-0.0237742273308892
26	90	-0.0335305302306113
27	50	-0.118798165894753
27	90	-0.0763131263057014
28	50	-0.12907128832569
28	90	-0.131863670751811
29	50	-0.0756013698727231
29	90	-0.0917348667374926
30	50	0.0194372533610085
30	90	-0.0193433349574779
31	50	-0.0478563911438515
31	90	-0.0554828057698125
32	50	-0.0309964406450123
32	90	-0.0470486306176036
33	50	-0.0843771160194126
33	90	-0.0951146498999733
34	50	-0.166096952968727
34	90	-0.155367257172368
35	50	-0.129274924488575
35	90	-0.117022508643008
36	50	0.0227537105190352
36	90	-0.0827837584508979
37	50	-0.111015354836003
37	90	-0.156229504999794
38	50	-0.139402583004567
38	90	-0.138776720321586
39	50	-0.0694294692712486
39	90	-0.0775554881292134
40	50	0.0372192076988145
40	90	-0.0650106258029938
41	50	0.0214821162191071
41	90	-0.0601660932448255
42	50	-0.110985353654554
42	90	-0.173698747589805
43	50	0.0448122562088657
43	90	-0.0537567566259149
44	50	-0.166588410914144
44	90	-0.157023757747406
45	50	-0.178130905756049
45	90	-0.172411005605175
46	50	-0.0885559193988075
46	90	-0.098984499131713
47	50	-0.0983384409501346
47	90	-0.11043379104272
48	50	-0.0560400551913555
48	90	-0.103935069589071
49	50	-0.172825228863493
49	90	-0.169773554110936
50	50	-0.0663707718423738
50	90	-0.123496851448871
51	50	-0.193238149533777
51	90	-0.199814147525597
52	50	-0.110334666160238
52	90	-0.131465877121071
53	50	-0.0902478072815966
53	90	-0.138415696668992
54	50	-0.0925387382143588
54	90	-0.142061595799245
55	50	-0.00725234024747647
55	90	-0.0960712388821917
56	50	-0.105069995394721
56	90	-0.118428715550022
57	50	-0.067510514251354
57	90	-0.0782615865805723
58	50	-0.102756709361939
58	90	-0.054924319994526
59	50	-0.102908972405527
59	90	-0.133558416931109
60	50	-0.14776501610405
60	90	-0.181225157891391
61	50	-0.123361033711503
61	90	-0.161731964037659
62	50	-0.101613830038977
62	90	-0.117558954016518
63	50	0.0891022481283598
63	90	-0.00388001265292406
64	50	-0.0227243146577174
64	90	-0.0823988573822062
65	50	-0.0558559355524498
65	90	-0.114216108913608
66	50	-0.114309163963397
66	90	-0.140200438294638
67	50	-0.088288014314043
67	90	-0.103706770047594
68	50	-0.135101408692528
68	90	-0.151033506458228
69	50	0.0294445897934376
69	90	-0.0545041549490483
70	50	-0.0624299421739917
70	90	-0.110685580833258
71	50	-0.0460207952126532
71	90	-0.0589608676981928
72	50	-0.120404387140217
72	90	-0.108496997291234
73	50	-0.0955582079822516
73	90	-0.109845920908169
74	50	-0.0542850517195327
74	90	-0.0504470450619687
75	50	-0.039141137322806
75	90	-0.113140675214886
76	50	-0.142657488358813
76	90	-0.14889526264227
77	50	-0.163906457993032
77	90	-0.176463419071983
78	50	-0.104089950081193
78	90	-0.124476896711942
79	50	-0.0931961290222369
79	90	-0.119057305700282
80	50	-0.0786209511311421
80	90	-0.0881579429270281
81	50	-0.135856191427423
81	90	-0.132071864942163
82	50	-0.135372374446281
82	90	-0.145257577555984
83	50	-0.0727041659009548
83	90	-0.122413904541829
84	50	-0.00950329857136142
84	90	-0.052919651822229
85	50	-0.151849540256865
85	90	-0.175316967180825
86	50	0.0211403841009098
86	90	-0.0313234635738811
87	50	-0.059370526162115
87	90	-0.0623520898453526
88	50	-0.0146316136819346
88	90	-0.0605177700258445
