ID	Status	DateTime	Longitude	Latitude	Distmax	Difftime	Distadj
HAR01	fail	2018-12-02 09:42:22	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 09:47:16	77.52356	-37.8545	0	4.9	0
HAR01	fail	2018-12-02 09:47:17	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 09:52:00	77.524417	-37.854717	0.0791074016148394	4.71666666666667	0.0791074016148394
HAR01	fail	2018-12-02 09:52:12	77.52356	-37.8545	0	0.2	0.0791074016148394
HAR01	fail	2018-12-02 09:52:13	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 09:52:20	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 09:52:21	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 09:52:22	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 09:55:00	77.396283	-37.505717	40.4147577393975	2.63333333333333	40.4147577393975
HAR01	fail	2018-12-02 09:57:37	77.52356	-37.8545	0	2.61666666666667	40.4147577393975
HAR01	fail	2018-12-02 09:57:38	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:02:32	77.52356	-37.8545	0	4.9	0
HAR01	fail	2018-12-02 10:02:33	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:07:28	77.52356	-37.8545	0	4.91666666666667	0
HAR01	fail	2018-12-02 10:07:29	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:07:36	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 10:07:37	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:07:38	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:09:00	77.524217	-37.855017	0.0815319368717136	1.36666666666667	0.0815319368717136
HAR01	fail	2018-12-02 10:11:00	77.432467	-37.555683	34.2193080442003	2	34.2888454323019
HAR01	fail	2018-12-02 10:14:40	77.52356	-37.8545	0	3.66666666666667	34.2193080442003
HAR01	fail	2018-12-02 10:14:41	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:19:35	77.52356	-37.8545	0	4.9	0
HAR01	fail	2018-12-02 10:19:36	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:24:31	77.52356	-37.8545	0	4.91666666666667	0
HAR01	fail	2018-12-02 10:24:32	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:24:39	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 10:24:40	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:24:41	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:26:00	77.52385	-37.85385	0.0767189979322391	1.31666666666667	0.0767189979322391
HAR01	fail	2018-12-02 10:28:00	77.465633	-37.597133	29.1015552801404	2	29.0348188649382
HAR01	fail	2018-12-02 10:31:16	77.52356	-37.8545	0	3.26666666666667	29.1015552801404
HAR01	fail	2018-12-02 10:31:17	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:36:11	77.52356	-37.8545	0	4.9	0
HAR01	fail	2018-12-02 10:36:12	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:41:00	77.523983	-37.85415	0.0538568632399	4.8	0.0538568632399
HAR01	fail	2018-12-02 10:41:07	77.52356	-37.8545	0	0.116666666666667	0.0538568632399
HAR01	fail	2018-12-02 10:41:08	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:41:15	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 10:41:16	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:41:17	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:44:00	77.504517	-37.65655	22.1002095476445	2.71666666666667	22.1002095476445
HAR01	fail	2018-12-02 10:46:38	77.52356	-37.8545	0	2.63333333333333	22.1002095476445
HAR01	fail	2018-12-02 10:46:39	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:51:33	77.52356	-37.8545	0	4.9	0
HAR01	fail	2018-12-02 10:51:34	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:56:00	77.5239	-37.854217	0.0434244059857714	4.43333333333333	0.0434244059857714
HAR01	fail	2018-12-02 10:56:29	77.52356	-37.8545	0	0.483333333333333	0.0434244059857714
HAR01	fail	2018-12-02 10:56:30	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:56:37	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 10:56:38	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:56:39	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 10:59:00	77.5123	-37.684383	18.9639874453281	2.35	18.9639874453281
HAR01	fail	2018-12-02 11:01:57	77.52356	-37.8545	0	2.95	18.9639874453281
HAR01	fail	2018-12-02 11:01:58	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:06:51	77.52356	-37.8545	0	4.88333333333333	0
HAR01	fail	2018-12-02 11:06:52	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:11:47	77.52356	-37.8545	0	4.91666666666667	0
HAR01	fail	2018-12-02 11:11:48	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:11:55	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 11:11:56	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:11:57	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:12:00	77.524	-37.854517	0.038721518963019	0.05	0.038721518963019
HAR01	fail	2018-12-02 11:15:00	77.530083	-37.734867	13.3303649954023	3	13.3306458931041
HAR01	fail	2018-12-02 11:17:21	77.52356	-37.8545	0	2.35	13.3303649954023
HAR01	fail	2018-12-02 11:22:15	77.52356	-37.8545	0	4.9	0
HAR01	fail	2018-12-02 11:22:16	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:27:00	77.524067	-37.85455	0.0449106303448881	4.73333333333333	0.0449106303448881
HAR01	fail	2018-12-02 11:27:11	77.52356	-37.8545	0	0.183333333333333	0.0449106303448881
HAR01	fail	2018-12-02 11:27:12	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:27:19	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 11:27:20	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:27:21	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:30:00	77.535633	-37.784883	7.82241800669849	2.65	7.82241800669849
HAR01	fail	2018-12-02 11:32:45	77.52356	-37.8545	0	2.75	7.82241800669849
HAR01	fail	2018-12-02 11:32:46	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 11:42:00	77.518033	-37.8678	1.55825878208722	9.23333333333333	1.55825878208722
HAR01	fail	2018-12-02 11:46:00	77.51385	-37.819067	4.03586214584686	4	5.43759499951487
HAR01	fail	2018-12-02 11:58:27	77.52356	-37.8545	0	12.45	4.03586214584686
HAR01	fail	2018-12-02 11:59:00	77.540583	-37.882183	3.42569771829621	0.55	3.42569771829621
HAR01	fail	2018-12-02 11:59:29	77.52356	-37.8545	0	0.483333333333333	3.42569771829621
HAR01	fail	2018-12-02 12:00:30	77.52356	-37.8545	0	1.01666666666667	0
HAR01	fail	2018-12-02 12:01:32	77.52356	-37.8545	0	1.03333333333333	0
HAR01	fail	2018-12-02 12:01:33	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 12:01:34	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 12:01:40	77.52356	-37.8545	0	0.1	0
HAR01	fail	2018-12-02 12:01:41	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 12:01:43	77.52356	-37.8545	0	0.0333333333333333	0
HAR01	fail	2018-12-02 12:02:00	77.523967	-37.854683	0.041168479345685	0.283333333333333	0.041168479345685
HAR01	fail	2018-12-02 12:07:31	77.52356	-37.8545	0	5.51666666666667	0.041168479345685
HAR01	fail	2018-12-02 12:07:32	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 12:12:25	77.52356	-37.8545	0	4.88333333333333	0
HAR01	fail	2018-12-02 12:12:26	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 12:14:00	77.514183	-37.8549	0.825420946757358	1.56666666666667	0.825420946757358
HAR01	fail	2018-12-02 12:14:19	77.52356	-37.8545	0	0.316666666666667	0.825420946757358
HAR01	fail	2018-12-02 12:14:23	77.52356	-37.8545	0	0.0666666666666667	0
HAR01	fail	2018-12-02 12:17:00	77.523983	-37.854617	0.0393962845576526	2.61666666666667	0.0393962845576526
HAR01	fail	2018-12-02 12:17:21	77.52356	-37.8545	0	0.35	0.0393962845576526
HAR01	fail	2018-12-02 12:17:22	77.52356	-37.8545	0	0.0166666666666667	0
HAR01	fail	2018-12-02 12:17:29	77.52356	-37.8545	0	0.116666666666667	0
HAR01	fail	2018-12-02 12:17:30	77.52356	-37.8545	0	0.0166666666666667	0
